YR--MODAHRMN DIR SPD 
201701160053 ***   0 
201701160153 010   3 
201701160253 360   3 
201701160353 350   5 
201701160453 360   5 
201701160553 020   6 
201701160653 010   7 
201701160753 340   5 
201701160759 *** *** 
201701160853 030   3 
201701160953 ***   0 
201701161053 330   3 
201701161153 ***   0 
201701161253 300   3 
201701161353 ***   0 
201701161453 ***   0 
201701161553 360   3 
201701161653 ***   0 
201701161753 ***   0 
201701161853 040   3 
201701161953 ***   0 
201701162053 040   7 
201701162153 990   3 
201701162253 290   3 
201701162353 340   5 
201701170053 060   6 
201701170153 330   6 
201701170253 050   6 
201701170353 010   6 
201701170453 360   7 
201701170553 020   7 
201701170653 340   3 
201701170753 010   6 
201701170759 *** *** 
201701170853 350   3 
201701170953 320   6 
201701171053 350   8 
201701171153 350   3 
201701171253 120  14 
201701171353 150   8 
201701171428 140  13 
201701171453 140  18 
201701171553 140  15 
201701171653 160  25 
201701171753 150  26 
201701171853 160  26 
201701171953 150  30 
201701172053 140  22 
201701172153 140  31 
201701172253 150  26 
201701172353 150  26 
201701180053 150  20 
201701180153 160  32 
201701180253 160  31 
201701180353 150  28 
201701180453 160  28 
201701180553 160  28 
201701180653 150  29 
201701180704 160  25 
201701180753 150  25 
201701180759 *** *** 
201701180809 150  26 
201701180853 150  24 
201701180943 150  23 
201701180953 150  21 
201701181007 150  18 
201701181053 150  18 
201701181103 140  24 
201701181153 140  15 
201701181222 150  11 
201701181251 150  21 
201701181253 150  21 
201701181325 150  17 
201701181353 150  20 
201701181444 140  14 
201701181453 140  15 
201701181553 990   7 
201701181653 140  22 
201701181744 130  24 
201701181751 120  17 
201701181753 130  20 
201701181851 150  24 
201701181853 140  23 
201701181953 150  18 
201701182053 170  16 
201701182139 150  21 
201701182153 160  20 
201701182253 160  13 
201701182331 160  15 
201701182339 160  17 
201701182353 150  21 
201701190002 150  18 
201701190053 150  10 
201701190100 150  13 
201701190153 180   5 
201701190253 100   5 
201701190353 030   3 
201701190410 360   6 
201701190429 010   5 
201701190437 ***   0 
201701190453 ***   0 
201701190510 990   3 
201701190553 110  15 
201701190653 150  24 
201701190753 150  22 
201701190759 *** *** 
201701190816 160  17 
201701190827 170  10 
201701190840 160  14 
201701190853 150  13 
201701190953 150  17 
201701191026 150  17 
201701191053 150  18 
201701191153 160  18 
201701191253 150  16 
201701191353 160  13 
201701191419 150  14 
201701191435 150  18 
201701191453 150  13 
201701191553 150  20 
201701191653 160  16 
201701191753 150  20 
201701191853 160  18 
201701191953 160  24 
201701192053 160  15 
201701192153 150  16 
201701192233 150  15 
201701192251 160  14 
201701192253 160  13 
201701192306 160  14 
201701192353 150  16 
201701200051 140  17 
201701200053 140  16 
201701200153 140  13 
201701200253 130  17 
201701200353 140  17 
201701200453 150  16 
201701200553 140  13 
201701200653 150  10 
201701200701 150  11 
201701200753 120  10 
201701200759 *** *** 
201701200853 120  11 
201701200953 090   6 
201701201053 020   9 
201701201153 020   9 
201701201253 010   9 
201701201353 020   8 
201701201453 020   7 
201701201553 010   8 
201701201653 010   7 
201701201753 360   9 
201701201853 010  13 
201701201953 360  11 
201701202053 020  11 
201701202153 020  10 
201701202253 010   7 
201701202353 010   7 
201701210053 010   7 
201701210153 360   6 
201701210253 360   3 
201701210353 990   3 
201701210453 060   7 
201701210553 360   5 
201701210653 350   3 
201701210753 350   8 
201701210759 *** *** 
201701210853 ***   0 
201701210953 ***   0 
201701211053 ***   0 
201701211153 ***   0 
201701211253 040   5 
201701211353 010   6 
201701211453 010   5 
201701211553 360   3 
201701211653 ***   0 
201701211753 030   6 
201701211853 020   7 
201701211953 040   5 
201701212053 340   5 
201701212153 010   5 
201701212253 010   7 
201701212353 040   6 
201701220053 030   5 
201701220153 010   5 
201701220253 ***   0 
201701220353 180   3 
201701220453 ***   0 
201701220553 ***   0 
201701220653 ***   0 
201701220753 ***   0 
201701220759 *** *** 
201701220853 ***   0 
201701220953 030   6 
201701221053 010   3 
201701221153 ***   0 
201701221253 010   6 
201701221353 010   9 
201701221453 010   8 
201701221553 010   8 
201701221653 040   8 
201701221753 ***   0 
201701221853 140  11 
201701221953 110   9 
201701222053 130   8 
201701222153 130  15 
201701222253 110   8 
201701222353 030   7 
201701230053 010   5 
201701230153 030   3 
201701230253 360   6 
201701230353 360   5 
201701230453 010   7 
201701230553 010   5 
201701230653 020   7 
201701230753 020   3 
201701230759 *** *** 
201701230853 360   6 
201701230953 010   7 
201701231053 350   7 
201701231153 ***   0 
201701231253 ***   0 
201701231353 ***   0 
201701231423 ***   0 
201701231437 ***   0 
201701231453 ***   0 
