  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 201701040253 030  22  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    0 1028.1 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040353 020  20  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   -1 1028.4 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040453 020  26  47 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   -1 1028.0 30.32 1021.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040553 030  25  45 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    0 1027.7 30.32 1021.2  27  25  0.00 ***** ***** ***** **
727976 24217 201701040653 030  30  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    1 1027.4 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040753 020  24  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    1 1026.9 30.29 1020.2  29  24  0.00 ***** ***** ***** **
727976 24217 201701040759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  29  24 ***** *****  0.00 ***** **
727976 24217 201701040853 020  20  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    3 1026.8 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040953 020  20  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    4 1026.3 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041053 030  16  31 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    5 1026.2 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041153 030  16  31 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    4 1026.0 30.27 1019.5  28  25  0.00 ***** ***** ***** **
727976 24217 201701041253 040  20  28 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    5 1025.9 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041353 040  15  24 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    6 1026.1 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041453 040  13  23 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    7 1025.9 30.26 1019.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041553 040  16  24 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    7 1026.0 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041653 030  16  28 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    7 1026.4 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041753 020  17  29 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32    7 1026.8 30.29 1020.2  32  27  0.00 ***** ***** ***** **
727976 24217 201701041853 030  20  33 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34    7 1026.9 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701041953 030  18  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36    7 1026.7 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701042053 020  16  29 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37    9 1026.6 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701042153 360  17  26 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   10 1026.8 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701042253 010  16  24 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   10 1027.0 30.30 1020.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701042353 010  13  23 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   10 1027.7 30.32 1021.2  37  32  0.00 ***** ***** ***** **
727976 24217 201701050053 020  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   11 1028.0 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050153 030   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   12 1028.4 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050253 030  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   13 1028.6 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050353 350   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   13 1029.1 30.36 1022.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050453 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   14 1029.2 30.36 1022.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050553 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   14 1029.5 30.37 1022.9  35  23  0.00 ***** ***** ***** **
727976 24217 201701050653 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24   14 1029.8 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050753 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22   14 1029.8 30.38 1023.2  37  20  0.00 ***** ***** ***** **
727976 24217 201701050759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  37  25 ***** *****  0.00 ***** **
727976 24217 201701050853 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22   15 1029.9 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701050953 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   21   15 1029.8 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051053 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20   15 1029.6 30.37 1022.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051153 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20   14 1029.2 30.36 1022.5  27  18  0.00 ***** ***** ***** **
727976 24217 201701051253 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   13 1029.1 30.35 1022.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051353 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   15 1028.5 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051453 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   14 1028.2 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051553 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   15 1028.2 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051653 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20   17 1028.2 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051753 360   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24   18 1027.9 30.32 1021.2  24  16  0.00 ***** ***** ***** **
727976 24217 201701051853 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1027.4 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701051953 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   22 1026.8 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701052053 330   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   34   22 1026.0 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701052153 990   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   19 1025.2 30.24 1018.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701052253 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   19 1024.7 30.23 1018.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701052353 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   23 1024.6 30.22 1017.8  36  24  0.00 ***** ***** ***** **
727976 24217 201701060053 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   21 1023.9 30.20 1017.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701060153 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   20 1023.7 30.20 1017.1 *** ***  0.00 ***** ***** ***** **
