#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 11 23 50  40  1.0   MM    MM    MM    MM  MM 1016.6  10.9    MM   4.6   MM   MM    MM
2017 10 11 22 50 140  1.0   MM    MM    MM    MM  MM 1016.5  10.6    MM   4.9   MM   MM    MM
2017 10 11 21 50  50  1.0   MM    MM    MM    MM  MM 1016.2  10.2    MM   4.1   MM   MM    MM
2017 10 11 20 50 240  1.0   MM    MM    MM    MM  MM 1016.4   9.8    MM   4.7   MM   MM    MM
2017 10 11 19 50 190  3.0   MM    MM    MM    MM  MM 1015.9   9.9    MM   3.9   MM   MM    MM
2017 10 11 18 50 220  6.0   MM    MM    MM    MM  MM 1015.7   9.4    MM   6.8   MM   MM    MM
2017 10 11 17 50 300  5.0   MM    MM    MM    MM  MM 1015.4   9.1    MM   5.8   MM   MM    MM
2017 10 11 16 50 210  6.0   MM    MM    MM    MM  MM 1015.1   8.3    MM   5.7   MM   MM    MM
2017 10 11 15 50 190  2.0   MM    MM    MM    MM  MM 1014.2   8.2    MM   5.9   MM   MM    MM
2017 10 11 14 50 230  5.0   MM    MM    MM    MM  MM 1013.8   8.4    MM   5.9   MM   MM    MM
2017 10 11 13 40 150  1.0   MM    MM    MM    MM  MM 1013.5   8.0    MM   6.4   MM   MM    MM
2017 10 11 12 50 100  7.0   MM    MM    MM    MM  MM 1013.2   8.1    MM   6.0   MM   MM    MM
2017 10 11 11 50 110  7.0   MM    MM    MM    MM  MM 1013.0   8.6    MM   6.0   MM   MM    MM
2017 10 11 10 50 210  7.0   MM    MM    MM    MM  MM 1013.0   9.2    MM   6.2   MM   MM    MM
2017 10 11 09 50 120  8.0   MM    MM    MM    MM  MM 1012.9   9.6    MM   6.7   MM   MM    MM
2017 10 11 08 50 120  7.0   MM    MM    MM    MM  MM 1012.9   9.8    MM   6.3   MM   MM    MM
2017 10 11 07 50 120  5.0   MM    MM    MM    MM  MM 1012.9  10.2    MM   5.9   MM   MM    MM
2017 10 11 06 50 200  5.0   MM    MM    MM    MM  MM 1012.6  10.3    MM   5.6   MM   MM    MM
2017 10 11 05 50 140  5.0   MM    MM    MM    MM  MM 1012.3  10.6    MM   4.8   MM   MM    MM
